index,x,y,dx,dy
a-176.4x-165.6,-176.4,-165.6,-0.284347515,1.855089739
a-172.8x-165.6,-172.8,-165.6,-0.329513462,1.839457538
a-169.2x-165.6,-169.2,-165.6,-0.379838385,1.823515337
a-165.6x-165.6,-165.6,-165.6,-0.42627703,1.806927093
a-162x-165.6,-162,-165.6,-0.479262738,1.789779496
a-158.4x-165.6,-158.4,-165.6,-0.527209137,1.772070074
a-154.8x-165.6,-154.8,-165.6,-0.580585698,1.754171705
a-151.2x-165.6,-151.2,-165.6,-0.630417916,1.735327223
a-147.6x-165.6,-147.6,-165.6,-0.684904756,1.715433617
a-144x-165.6,-144,-165.6,-0.736594459,1.694702842
a-140.4x-165.6,-140.4,-165.6,-0.790934961,1.672857407
a-136.8x-165.6,-136.8,-165.6,-0.844188392,1.649846671
a-133.2x-165.6,-133.2,-165.6,-0.898638111,1.625596437
a-129.6x-165.6,-129.6,-165.6,-0.952353551,1.600281152
a-126x-165.6,-126,-165.6,-1.007046769,1.573040153
a-122.4x-165.6,-122.4,-165.6,-1.060947285,1.544989565
a-118.8x-165.6,-118.8,-165.6,-1.115424152,1.515291369
a-115.2x-165.6,-115.2,-165.6,-1.168994125,1.483907782
a-111.6x-165.6,-111.6,-165.6,-1.222584506,1.450177751
a-108x-165.6,-108,-165.6,-1.275253658,1.415703414
a-104.4x-165.6,-104.4,-165.6,-1.327607,1.37923155
a-100.8x-165.6,-100.8,-165.6,-1.379655574,1.340360533
a-97.2x-165.6,-97.2,-165.6,-1.429079578,1.299831233
a-93.6x-165.6,-93.6,-165.6,-1.479913272,1.258104457
a-90x-165.6,-90,-165.6,-1.526576801,1.212998901
a-86.4x-165.6,-86.4,-165.6,-1.575001074,1.165901384
a-82.8x-165.6,-82.8,-165.6,-1.618362816,1.118244509
a-79.2x-165.6,-79.2,-165.6,-1.663016829,1.067106806
a-75.6x-165.6,-75.6,-165.6,-1.703073892,1.015827802
a-72x-165.6,-72,-165.6,-1.743278022,0.961330711
a-68.4x-165.6,-68.4,-165.6,-1.778918018,0.90590288
a-64.8x-165.6,-64.8,-165.6,-1.813485364,0.848144986
a-61.2x-165.6,-61.2,-165.6,-1.844961161,0.78883661
a-57.6x-165.6,-57.6,-165.6,-1.872903369,0.72838796
a-54x-165.6,-54,-165.6,-1.89896431,0.666779943
a-50.4x-165.6,-50.4,-165.6,-1.920427062,0.60381154
